Full Name,Date of Birth,Gender,Marital Status,Driver’s License Number,License State,Years of Driving Experience,Accidents in Last 5 Years,Violations in Last 5 Years,Claims in Last 5 Years,Vehicle Year,Vehicle Make,Vehicle Model,VIN,Vehicle Usage,Annual Mileage,Ownership Status,Primary Parking Location,Home Address,ZIP Code,Insurance Provider,Has Continuous Insurance,Current Liability Limits,Deductible Preference,Coverage Type,Wants Optional Coverage,Willing to Use Telematics,Additional Driver Count,Consent to MVR Check,Consent to Insurance Report,Policies Taken
Allison Hill,1962-11-25,Male,Married,WZk8637940,FL,48,0,0,2,2013,Honda,Civic,1HGCM82633A0654235,Business,5520,Owned,Garage,"819 Johnson Course, East William, AK 74064",13897,State Farm,True,100/300K,250,Liability Only,"Roadside Assistance, Rental Reimbursement, Gap Coverage",True,0,True,True,"POL-1009, POL-1015"
Brent Abbott,1964-11-16,Male,Divorced,Oxk4131647,NY,7,0,3,0,2013,Kia,Sorento,1HGCM82633A0553419,Business,18885,Financed,Driveway,"781 Miller Hill, Barbaraland, AZ 87174",83728,Allstate,True,100/100K,1000,Liability Only,"Roadside Assistance, Rental Reimbursement, Gap Coverage",True,2,True,True,POL-1048
Nicholas Martin,1970-10-13,Male,Married,pVJ3767242,IL,56,0,3,1,2012,Honda,Civic,1HGCM82633A0849696,Business,15415,Financed,Garage,"503 Linda Locks, Carlshire, FM 94599",47948,Allstate,False,25/300K,500,Liability Only,Gap Coverage,True,0,True,True,"POL-1037, POL-1027"
Zachary Hicks,1957-03-01,Male,Divorced,DaU8451462,NC,54,0,1,0,2013,BMW,X5,1HGCM82633A0482814,Business,11572,Financed,Garage,"22691 James Mountain, Tashatown, TX 94967",84249,State Farm,False,25/300K,500,Full Coverage,"Roadside Assistance, Rental Reimbursement, Gap Coverage",True,2,True,True,"POL-1011, POL-1037, POL-1032"
Christina Brooks,1954-09-23,Female,Widowed,Jkq1718227,MI,24,1,1,2,2013,Mercedes-Benz,GLC,1HGCM82633A0896383,Business,6489,Owned,Garage,"570 Sarah Wells, Johnbury, FM 74865",93948,State Farm,True,100/100K,1000,Liability Only,"Rental Reimbursement, Gap Coverage, Roadside Assistance",True,2,True,True,"POL-1023, POL-1017, POL-1042"
Zachary Santos,1994-11-22,Non-binary,Divorced,pYE7382997,IL,8,2,3,0,2022,Honda,CR-V,1HGCM82633A0631165,Business,5053,Leased,Driveway,"33150 Brianna Avenue Apt. 031, Port Markhaven, IA 37001",56020,Allstate,True,100/50K,1000,Full Coverage,Roadside Assistance,False,0,True,True,
Scott Brown,1979-07-11,Female,Widowed,kAF8108013,MI,2,0,2,1,2005,Mercedes-Benz,GLC,1HGCM82633A0736026,Personal,5949,Owned,Driveway,"65133 Amanda Dam, Whitemouth, IA 10381",783,Geico,True,100/100K,250,Liability Only,Gap Coverage,False,2,True,True,"POL-1009, POL-1020, POL-1034"
Mrs. Rachel Gibson,1954-01-12,Female,Married,LMc9136193,MI,35,1,2,1,2021,Ford,Escape,1HGCM82633A0916998,Rideshare,15647,Financed,Street,"34309 Julie Centers Apt. 978, North Susan, CO 24857",41968,Liberty Mutual,False,25/50K,250,Liability Only,"Roadside Assistance, Gap Coverage",True,0,True,True,"POL-1011, POL-1035"
Christina Moran,1965-12-28,Male,Single,ZPH5427849,FL,56,2,0,2,2006,Honda,CR-V,1HGCM82633A0084124,Personal,9562,Leased,Street,"47510 Howell Port Apt. 183, Davidstad, FM 09517",15630,State Farm,True,100/300K,1000,Full Coverage,Rental Reimbursement,False,0,True,True,"POL-1031, POL-1015, POL-1020"
Natalie Moore,1972-01-25,Female,Widowed,ahe2427868,PA,30,0,0,0,2018,Honda,Civic,1HGCM82633A0280598,Business,16931,Financed,Garage,"534 King Vista, North Cynthiaview, AZ 00965",19911,State Farm,True,25/300K,500,Liability Only,"Roadside Assistance, Rental Reimbursement, Gap Coverage",True,0,True,True,"POL-1044, POL-1025, POL-1048"
Andrew Diaz,1966-05-08,Non-binary,Single,kZZ1586923,CA,6,1,1,1,2008,BMW,5 Series,1HGCM82633A0260256,Business,12886,Owned,Street,"USS Nolan, FPO AE 89900",88307,Geico,True,50/50K,500,Full Coverage,"Rental Reimbursement, Gap Coverage, Roadside Assistance",True,0,True,True,POL-1012
Rita Adams,1971-09-15,Non-binary,Single,vbh4145868,MI,48,2,0,0,2006,Nissan,Altima,1HGCM82633A0429401,Rideshare,12811,Leased,Driveway,"0733 Bailey View, East Andrew, ID 52728",78694,State Farm,True,100/50K,250,Liability Only,,True,1,True,True,
Nicholas Edwards,1991-10-10,Non-binary,Single,zSs5148465,MI,40,0,3,2,2012,Honda,CR-V,1HGCM82633A0823662,Rideshare,14260,Leased,Street,"9340 Smith Valley, West Ryan, TN 43780",81177,Allstate,True,100/300K,500,Liability Only,"Rental Reimbursement, Roadside Assistance",False,1,True,True,POL-1002
